product_name,product_brand,product_type,product_rating,product_price
SanDisk 64GB Stainless Steel USB Flash Drive CZ74,SanDisk,USB Flash Drives,4.4,3990
USB Sound Card 7.1 USB To 3.5mm Earphone Mic Adapter,,Internal Sound Cards,4.8,1159
SanDisk 32GB DD3 USB3.0 Flash Drive For Android Phone PC,SanDisk,USB Flash Drives,3.5,2700
Samsung 32GB Pendrive Flash Drive USB 3.0,Samsung,USB Flash Drives,2,1999
"Life Saving Unisex Blue Light Blocking Glasses For Computer Use, Anti Eyestrain UV Filter Lens",,Anti-Glare & Privacy Filters,4.6,3200
250GB Backup  Slim  External Hard Drive,,External Hard Drives,4.2,6799
Gm Ultra Dual M3.0 OTG Flash Drive 64GB,Gm,USB Flash Drives,4.5,4540
Google TV STREAMING DEVICE CHROME CAST,Google,Networking Products,3.5,5850
Apple Iphone 11/Pro/Max Full 9D/10D Covered Tempered Glass Screen Protector.,,Screen Protectors,,4950
Hxsj 2.4GHz Optical Wireless Rechargeable Silent Gaming Mouse,Hxsj,Mice,4.9,4354
XIAOMI Mijia USB Portable Fan Flexible Pocket Detachable,XIAOMI,USB Fans,5,720
Hp Deskjet 2710 AIO Wireless Printer - Print/Scan/Copy,Hp,Inkjet Printers,4.5,16800
Maikou Type C USB3.0 Flash Drive OTG Pen Drive 8G/16G/32G/64G/128G/256GB Silver,Maikou,USB Flash Drives,4.5,2200
Hp 100% Genuine - Mini USB Wired Optical Light Mouse,Hp,Mice,4.3,1799
Microkingdom PC Headset With Mic For Voice Call And Gaming,Microkingdom,Computer Headsets,3.7,3490
HDMI To VGA Adapter,,HDMI-to-VGA Adapters,5,3000
"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour",Hp,Laptops,4.3,228000
Wireless Bluetooth Dongle 5.0,,Bluetooth Network Adapters,4.4,1620
FileKing 64GB USB OTG Flash Drive For Android & Computers - Yellow,FileKing,USB Flash Drives,4.8,3590
Hp DeskJet 2710 All-in-One Printer,Hp,Inkjet Printers,4,16990
Hikvision 16GB Memory - C1 Consumer Class Micro SD Card,Hikvision,Memory Card Adapters,,2000
SanDisk 32GB Ultra Dual USB Type-C OTG,SanDisk,USB Flash Drives,4.7,4790
SanDisk CZ600 Ultra USB 3.0 130MB/S Flash Drive 64GB,SanDisk,USB Flash Drives,4.3,4370
"Canon Pixma TS3140 Wireless Printer Print, Scan & Copy - Black",Canon,Inkjet Printers,4,15935
Transcend 2TB EXTERNAL HARD DRIVES,Transcend,External Hard Drives,4.5,39000
EA Sports FIFA 21 PC Gaming,EA Sports,Internet Security,,5999
Airtel 4G LTE MiFi WiFi Internet Router HotSpot,Airtel,Networking Products,5,13980
Gm CZ61 USB Flash Drive USB PenDrive 64GB High Speed,Gm,USB Flash Drives,4.1,3050
Kkmoon KKmoon 2.4GHz Wireless PowerPoint Clicker Laser Pointer,Kkmoon,Visualization & Presentation,4.2,2990
Mini I 8 Wireless Keyboard Gaming Control Touchpad Handheld,,Keyboards,5,3423
Benz Designed Flash Drive,,USB Flash Drives,5,3500
FileKing 64GB USB OTG Flash Drive For Android & Computers - Red,FileKing,USB Flash Drives,3.7,3650
FileKing 32GB USB OTG Flash Drive For Android & Computers - Blue,FileKing,USB Flash Drives,4.5,2450
Hp Star Wars Special Edition 15.6-Inch Laptop Sleeve,Hp,"Bags, Cases & Sleeves",4.7,3500
ZTE 4G LTE-Advanced Mobile WiFi Hotspot MF980U For All Networks,ZTE,Networking Products,4.7,16500
1TB/2TB My Passport External Hard Drive USB 3.0-Black,,External Hard Drives,3.9,18990
Hp Laptop Charger Adapter 18.5V-3.5A - Big Mouth Pin,Hp,Chargers & Adapters,,2975
ThunderBolt Mini Display Port To HDMI Adapter Cable For Macbook,,Computer Accessories,4.1,2700
64GB USB Flash Drive Memory Stick With OTG For Phone/PC,,USB Flash Drives,4.2,2484
Bestrunner 32GB USB Flash Drive With OTG For Phone/PC-Blue,Bestrunner,USB Flash Drives,,1890
Flexible Authentic USB External Keyboard - Black,Flexible,Keyboards,4.6,2399
Canon PG-445 Black Ink Cartridge,Canon,Inkjet Printer Ink,,7889
MacBook Pro / Air Charger Power Adapter Magsafe1 - MacBooks Pro & Air Models Mid 2015 & Before 2012- L Type Connector,,Chargers & Adapters,4.4,8750
"Hp 15 Intel Pentium Silver Quadcore(4GB,500 HDD) Windows 10",Hp,Laptops,,170900
MacBook Pro / Air Charger Power Adapter Magsafe1 - MacBooks Pro & Air Models Mid 2012 & Before - L Type Connector,,Chargers & Adapters,4.6,7830
Logitech Wireless Mouse - M186,Logitech,Mice,4.8,6740
INNOVATIVE LAPTOP STAND,,Stands,5,8500
Wifi Range Extender Signal Repeater 2 Antenna 300mbps,,Repeaters,4,6945
Hp Notebook15 Intel Core I3 (8GB 1TB HDD) 32GB Flash+Mouse+USB Light15.6 Win10-Black,Hp,Laptops,4.4,208050
Berjalan SD Card Reader USB 3.0 OTG Micro USB Type C Card Reader,Berjalan,Memory Card Readers,4.3,1269
Mini Wireless Keyboard Mouse 2.4GHz 3 Color Touchpad Rechargeble For PC TV BOX Tablet,,Keyboards,4.5,3700
LEADSMATR 64GB USB Flash Drive Memory Stick With OTG,LEADSMATR,USB Flash Drives,,2440
Seagate 500GB Portable External Hard Drive,Seagate,External Hard Drives,4.3,11300
13.3" Laptop Sleeve For Notebooks / MacBook / MacBook Pro / Air,,"Bags, Cases & Sleeves",4.5,6500
Logitech PC Headset 860,Logitech,Computer Headsets,3.8,4000
"Anti-Slip World Map Pattern Soft Rubber Smooth Cloth Surface Game Mouse Pad Keyboard Mat, Size: 70 X 30cm",,Mouse Pads,3.3,1230
"Charger & Power Adapter For Mackbook Magsafe 2, Macbook Pro & Macbook Air (2012-2017Models)",,Chargers & Adapters,,7800
G21 Round Waterproof Rainbow Keyboard With USB Wired Game Keyboard,,Keyboards,4,2490
UCOM Single PC Controller Game Pad- Black,UCOM,Controllers,5,2450
ZTE 4G LTE Universal WiFi Router Hotspot With LCD Screen Display,ZTE,Networking Products,5,20850
SanDisk 128GB Ultra Dual USB Type-C OTG  (SDDDC2-128G-G46),SanDisk,USB Flash Drives,5,8910
SanDisk 32GB Memory Card + Adapter 100% Durability,SanDisk,USB Flash Drives,4.2,3999
"MHL To HDMI HD Converter MHL/Micro-USB To HDMI 1080p High Speed Adapter For Smartphones And Tablets Micro USB To HDMI, Fast Digital Conversion To HDMI(black, Cable Length 17-20cm)",,HDMI-to-VGA Adapters,1,1287
Hp 652 Tri-color Ink Advantage Cartridge - F6V24AE BHL,Hp,Printer Ink & Toner,4.6,7200
"ZTE Universal Mobile 4G Wifi / Mifi ( Ntel, Mtn, Glo, Airtel, Etisalat Or 9mobile) WHITE",ZTE,Computer Accessories,3.7,18999
Western Digital WD 2TB My Passport Ultra USB 3.1 External Hard Drive,Western Digital,External Hard Drives,4.8,32000
Hp 15a Monochrome Small Size Laserjet Printer,Hp,Laser Printers,4,34500
Dtp 100% Genuine Original DTP Bluetooth POS Mobile Thermal Printer 58mm,Dtp,Laser Printers,5,17500
Hp Notebook Black TopLoad Case 15.6 Inch,Hp,"Bags, Cases & Sleeves",3.8,4400
Type-C OTG Male To USB Type A Female USB Adapter WHITE,,USB Flash Drives,4.5,2499
SanDisk 64GB Ultra Dual USB Type-C OTG ,SanDisk,USB Flash Drives,4.6,6300
Airtel 4G LTE MiFi WiFi Internet HotSpot + 25GB DATA (5 IN 1),Airtel,Modems,5,14890
Hp OfficeJet Pro 8023 All-in-One Printer - 1KR64B,Hp,Inkjet Printers,3.8,71500
ZTE 4G LTE Universal Pocket Mobile WiFi HotSpot For All Networks,ZTE,Networking Products,4,18949
Rockstar Games GTA 5 - Grand Theft Auto 5 PC,Rockstar Games,Internet Security,,4299
Wireless Bluetooth 3.0 Gamepad Gaming Controller Joystick With Phone Tablet Holder Bracket For Android Phones Tablet PC TV Box,,Gamepads & Standard Controllers,4.7,3154
Team Group Team 8GB Color Turn Flash Drive,Team Group,USB Flash Drives,5,1530
Mouse Pad Computer Mice Pad Mouse Mat PC Wrist Rest Support,,Mice,4.5,1730
Huion H610PRO V2 Graphics Drawing Tablet 8192 Battery Free Pen,Huion,Graphics Tablets,5,23219
Plus 2.4GHz Wireless Backlight Keyboard With Touchpad,,Keyboards,4.5,3850
Lenovo 15.6 Laptop Backpack B210 Blue,Lenovo,"Bags, Cases & Sleeves",4.1,4800
MOVFA 32GB Ultra OTG 4 In 1 Micro Tapy-c Lightning USB Flash Drive,MOVFA,USB Flash Drives,4.6,4500
1.5m HDMI Male To VGA Male 15PIN Video Cable Black & Red,,HDMI-to-VGA Adapters,,2500
"TUCCI Adjustable Headset Headphone With Microphone 3.5mm Plug For Gaming, PC/Laptop And Mobile Devices",TUCCI,Computer Headsets,3.8,4280
Toshiba 500GB USB 3.0 Portable External Hard Drive,Toshiba,External Hard Drives,4.3,11300
Wireless/ Bluetooth Mouse For PC/PAD/smart Phone,,Mice,2,4000
GIGA 630 Compressed Gas Air Duster 450ml,GIGA 630,Monitor Accessories,4.5,2750
Bestrunner 32GB USB Flash Drive With OTG For Phone/PC-Grey,Bestrunner,USB Flash Drives,,1890
Hp H P 14/15 Laptop Charge Blue Mouth 19.5V- 3.33A + CORD,Hp,Chargers & Adapters,3.9,3500
EA Sports FIFA 21 PC Gaming,EA Sports,Internet Security,,5999
Mini Portable Cooling Fan,,Fans & Cooling,,3200
Netac 256GB SSD 2.5in SATA6Gb/s Flash Solid State Drive,Netac,External Hard Drives,,15642
Asus Vivobook Intel Celeron (500GB HDD 4GB RAM )Wins 10 11.6",Asus,Netbooks,4.5,145000
Seagate External Hdd 500gb,Seagate,External Hard Drives,4.3,10000
Black Memory Card 32G Tf Card For Music Accessories Storage,,External Solid State Drives,,1650
Airtel 4G LTE WiFi Internet Router HotSpot With 25Gig Free Data Sim,Airtel,Networking Products,4.4,14999
2.5" External USB Hard Drive Disk Carry Zipper Case Cover Pouch Bag For PC GPS Black,,External Hard Drives,4,431
Logitech MK270 Wireless Keyboard And Mouse With Long-Range Wireless,Logitech,Keyboards,4.5,14560
Maikou 3in1 USB Flash Drive USB2.0 / Ballpoint / Capacitive 8G/16G/32G/64G Red,Maikou,USB Flash Drives,,1900
4G LTE Universal Pocket MiFi/ WiFi For All Networks With Display Screen,,Routers,,18999
Portable External Hard Drive USB 3.0 HDD For PC Black&320G,,External Hard Drives,4.5,8750
FileKing 32GB USB OTG Flash Drive For Android & Computers - Black,FileKing,USB Flash Drives,4.1,2450
"Unisex Blue Light Blocking Glasses For Computer Use, Anti Eyestrain UV Filter Lens Lightweight Frame Eyeglasses, Black.",,Monitor Accessories,4.3,3150
DC 5v To 12v Converter 4G Router Powerbank USB Power Cable,,USB Gadgets,4,1800
Wireless Bluetooth Keyboard For Phone And Tablet-VSC,,Keyboards,4.9,3499
USB Universal Modem (Black),,Networking Products,4,3900
"Hp 15 Intel Pentium Quad Core (4gb Ram,500GB Hdd + 32gb Flash Drive +led Lamp) Windows 10 Laptop",Hp,Laptops,4.5,175500
Soyto 830 Gaming Headset Gaming Headset Surround Stereo Headband Headphone With Mic For PC (white),,Headsets,,2125
Hp DeskJet 2630 All-in-One Printer REPLACEMENT HP 2632,Hp,Inkjet Printers,,18950
Coolbell WATERPROOF BUSINESS LAPTOP Bag 15.6" (CB-5501),Coolbell,"Bags, Cases & Sleeves",4.4,11900
MOVFA 128GB Ultra OTG Micro Tapy-c Lightning USB 4In 1 Flash Drive,MOVFA,USB Flash Drives,3.3,9990
Wireless Pad For Laptop Desktop Computer USB Wireless Pad For Game,,Controllers,3.5,6200
SanDisk 128GB Ultra OTG Dual USB Flash Drive 3.0,SanDisk,USB Flash Drives,4.4,8910
"Hp Deskjet 2710 AIO Print, Scan & Copy Wireless Printer",Hp,Inkjet Printers,5,16800
Hxsj HXSJ S500 Gaming Mouse USB Wired Mechanical Mouse Max,Hxsj,Mice,4.7,3969
Huion Inspiroy H950P Graphics Drawing Tablet With Tilt Response Battery-Free Stylus,Huion,Graphics Tablets,,25790
"Hp 15 Intel Pentium Silver Edition (1TB HDD, 8GB RAM,Wins10",Hp,Laptops,5,185000
1080P HDMI USB 2.0 Video Capture Card Streaming Recorder Game Video Live Streaming Broadcast Video Capture Card,,Internal TV Tuner & Capture Cards,5,8500
ZTE MF927U 4G LTE MTN Mobile Wi-Fi Router Hotspot,ZTE,Networking Products,3.6,16600
ZTE MF927U 4G LTE MTNn Mobile Wi-Fi Router Hotspot(All Networks),ZTE,Networking Products,5,19498
"Hp Pavilion 15 10th Gen Core I5,1TB HDD,16GBRAM,16GB Optane, 2GB Nvidia Graphics Wins 10",Hp,Laptops,,385000
"300Mbps Wireless WiFi Repeater/Extender/AP/WI-FI Signal Range Amplifier/Booster, Mini 2.4G Portable WiFi Signal Range Extender With WPS For Router Home",,Computer Accessories,4.7,7000
Hp DeskJet 2630 Wireless All-in-One Printer,Hp,Inkjet Printers,4.3,20820
SanDisk 32GB Cruzer Force Stainless Steel USB Flash Drive,SanDisk,USB Flash Drives,,2400
Macbook Pro Charger & Power Adapter Magsafe 2 - For Macbook Pro & Macbook Air (2012 - 2015 Models),,Chargers & Adapters,5,8505
SanDisk Cruzer Blade USB Pendrive 128GB,SanDisk,USB Flash Drives,4.8,6800
USB Office Game Mouse Plug And Play,,Mice,5,1790
2.4GHz Wireless Optical Gaming Mouse With USB Receiver- Grey,,Mice,3.8,3500
Hp LaserJet Pro M15A Black And White Printer,Hp,Laser Printers,5,45999
2.4g Optical Wireless Rechargeable Mouse,,Mice,4.4,3690
TP Link WiFi Range Extender TL-WA850RE,TP Link,Networking Products,4.5,13600
"Nano Hi-tech Liquid Screen Guard, Screen Protector.",Nano,Screen Protectors,5,1500
Bluetooth Gamepad X3 Game Controller For Iphone/ipad Android Box Smart Phone For PC Laptop Gaming Remote Control LBQ,,Controllers,1.3,3499
Microkingdom MK-2688 PC Gaming Headset With Mic And Noise Cancellation,Microkingdom,Computer Headsets,5,3950
Remote Control- Organizer Remote Caddy Remote Holder Stand,,Remote Access,,2475
Hp 652 Black Ink Advantage Cartridge,Hp,Printer Ink & Toner,4.5,6200
Asus Mini E203 Intel Celeron (500GB HDD 4GB RAM )Wins 10 11.6",Asus,Netbooks,4,145000
Hp Laptop Battery For HP EliteBook Folio 9470m BT04XL,Hp,Batteries,5,17000
Huion H420 Drawing Tablet 4 X 2.3 Inches 3 Express Keys USB OSU Tablet Signature Pad With Digital Battery Pen,Huion,Graphics Tablets,,9949
Wireless Bluetooth 3.0 Gamepad Gaming Controller Joystick With Phone Tablet Holder Bracket For Android Phones Tablet PC TV Box,,Gamepads & Standard Controllers,5,3154
UGEE Upgraded Graphics Drawing Tablet Board With Passive Pen 8192,UGEE,Graphics Tablets,4.7,18999
Hp Value Top Load For 15.6inch Laptop Bag - Grey/blue,Hp,Computer Accessories,4.3,4249
Professional Dazzle Light Mechanical Gaming  Wired Mouse,,Mice,4.4,3190
Canon Pixma TS3140 AIO Wireless Printer + Free A4Paper & USB Cable,Canon,Inkjet Printers,4,17500
Logitech Wireless Keyboard And Mouse Combo MK220 ,Logitech,Keyboards,4.6,13430
Samsung OTG ADAPTER / CONNECTOR USB TYPE C TO USB,Samsung,USB-to-USB Adapters,4.3,2450
Rockstar Games GTA 5 - Grand Theft Auto 5 PC,Rockstar Games,Internet Security,,4299
"Gamesir F1 Gamepad Game Controller Phone Analog Joystick Grip For All Android & IOS SmartPhone Playing PUBG-Like, FPS Games",,Gamepads & Standard Controllers,,820
Seagate Expansion 1TB-3TB Hard Drive-USB 3.0 (black),Seagate,External Hard Drives,4.4,20990
HDMI To VGA Adapter Cable Analog Converter Cable (Black).,,HDMI-to-VGA Adapters,3.7,2999
H P Pavilion G6 Laptop Battery For Pavilion G4/G6/G7/G56/G62,Hp,Batteries,4.8,7500
"Huawei Pocket Mobile Battery For WiFi/MiFi & Routers,1500mAh,Li-ion",Huawei,Networking Products,4.6,2450
ZTE UNIVERSAL MOBILE WIFI Zte  MF65M,ZTE,Networking Products,,10999
"Wireless Mouse, Ergonomic Rechargeable",,Mice,4.3,6800
Slim Mini Bluetooth Wireless Keyboard,,Keyboards,,5500
Anti Thief Business Waterproof Laptop Backpacks 17 Inch,,"Bags, Cases & Sleeves",4,9000
Huawei E5573 Universal 4GLTE & 3G Pocket Mobile WiFi Hotspot Router,Huawei,Networking Products,3.6,17100
Seagate 1TB Backup Plus Slim  External Hard Drive,Seagate,External Hard Drives,4.5,19600
Logitech M171 Wireless Optical Mouse,Logitech,Mice,4.6,6740
XPrinter Xprinter - 80mm POS Thermal Receipt Printer With Autocutter,XPrinter,Inkjet Printers,4.7,22600
Neworldline 22*18cm Universal Mouse Pad Mat For Laptop Computer Tablet PC -Black,Neworldline,Mice,5,1800
Huion 1060PLUS Portable Drawing Graphics Tablet Pad10+ 8G TF Card,Huion,Graphics Tablets,,21999
ZTE 4G LTE SuperFast Universal CPE Router MF283U For All Network,ZTE,Networking Products,4.4,31900
V8 Audio USB External Sound Card Live Show Soundcard,,External Sound Cards,3.8,5340
8192 Graphic Drawing Writing Tablet & Digital Pen - Huion,,Graphics Tablets,,21490
Hp LaserJet Pro MFP M28W Printer -  W2G55A,Hp,Laser Printers,4.8,72600
Seagate Super Slim High Speed 500Gb USB 3.0 SATA External Hard-disk,Seagate,External Hard Drives,4.3,10300
"Logitech MX Master 2S Wireless/Bluetooth Mouse With FLOW Cross-Computer Control And File Sharing For PC And Mac, Graphite",Logitech,Mice,4.7,45000
Keyboard Hands Rest Wrist Raised Support Cushion,,Keyboards,4,880
HP USB Wired Optical Mouse - Black,,Keyboard & Mouse Combos,,1489
ZTE UNIVERSAL MF927U 4G LTE MTN Mobile Wi-Fi Router Hotspot,ZTE,Networking Products,5,18999
USB 2.0 External DVD ROM Player Reader CD RW Combo Burner Drive,,DVD Drives,,6000
Logitech Wireless Mouse - M186,Logitech,Mice,,4950
Hsdpa USB Modem - All NETWORK,,Modems,4.5,4250
Mouse Pad With Gel Wrist Support For PC Notebook Laptop,,Mouse Pads,,2000
Seagate Internal Hdd 500gb,Seagate,Internal Hard Drives,,8000
Hp V270 27" FHD (1080p) DVI-D VGA HDMI Backlit IPS LED Monitor,Hp,Monitors,4.8,94000
Genuine 4G LTE USB Modem  With WiFi Hotspot,,Routers,,10000
ABS Micro USB OTG TF T-flash Card Reader For Cell Phone PC,,Memory Card Readers,,580
Huion HS64 Android Support Graphic Drawing Tablet 8192 Battery-free Pen,Huion,Graphics Tablets,,14690
YOSOO SATA 22 Pin To USB 2.0 Cable Adapter For 2.55 HDD Hard Disk Drive With USB Cable,,External Hard Drives,4,899
Huawei Glo 4G Pocket Mobile Mifi E5573s-606 Best Mifi Product,Huawei,Networking Products,5,30000
64GB USB Flash Drive Memory Stick With OTG For Phone/PC,,USB Flash Drives,,2549
58mm Small USB POS Receipt Printer - USB Only,,Inkjet Printers,3.5,11049
Econet PowerBank Of 8Hours & More Backup Battery For Routers & CCTV,Econet,Networking Products,4.3,17990
"Hp Elitedesk 800 SFF Intel Core I5 (3.2gHZ) 8GB Ram 1TB HDD, Win 10 Pro & MS Office Pro Preloaded",Hp,Desktops,5,170600
Sound Cards V8 Audio External USB Headset Mic Live Broadcast,,External Sound Cards,4.2,5400
Hp H P 14/15 Laptop Charge Blue Mouth 19.5V- 3.33A + CORD,Hp,Chargers & Adapters,5,3499
4G LTE Universal Pocket MiFi/ WiFi For All Networks,,Wireless Access Points,,15000
